2015-10-15 21:54:44,246 | INFO  | Listening for connections at: amqp://linux-icqi:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 21:54:44,251 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 21:54:44,267 | INFO  | Listening for connections at: stomp://linux-icqi:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 21:54:44,273 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 21:54:44,286 | INFO  | Listening for connections at: mqtt://linux-icqi:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 21:54:44,291 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 21:54:44,520 | INFO  | Listening for connections at ws://linux-icqi:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-10-15 21:54:44,521 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 21:54:44,533 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-48091-1444931683961-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:44,542 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:44,592 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /home/administrator/workspace/ru.vm.labs.mq/apache-activemq-5.12/data/kahadb only has 2974 mb of usable space - resetting to maximum available disk space: 2975 mb | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:44,594 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/administrator/workspace/ru.vm.labs.mq/apache-activemq-5.12/data/localhost/tmp_storage only has 2974 mb of usable space - resetting to maximum available 2974 mb. | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:45,356 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 21:54:45,357 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 21:54:45,442 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-10-15 21:54:46,230 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-10-15 21:55:02,249 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp2023990538-42
2015-10-15 23:15:17,094 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-48091-1444931683961-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 23:15:17,139 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,142 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,146 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,148 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,231 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,241 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 23:15:17,250 | INFO  | PListStore:[/home/administrator/workspace/ru.vm.labs.mq/apache-activemq-5.12/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2015-10-15 23:15:17,251 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 23:15:17,252 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 23:15:17,253 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 23:15:17,727 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-48091-1444931683961-0:1) uptime 1 hour 20 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 23:15:17,728 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-48091-1444931683961-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 23:15:17,729 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@465c16: startup date [Thu Oct 15 21:54:40 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2015-10-15 23:15:17,769 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
